,RSN,YEAR_REGISTERED,YEAR_EVALUATED,YEAR_BUILT,PROPERTY_TYPE,WARD,WARDNAME,SITE_ADDRESS,CONFIRMED_STOREYS,CONFIRMED_UNITS,EVALUATION_COMPLETED_ON,SCORE,RESULTS_OF_SCORE,NO_OF_AREAS_EVALUATED,ENTRANCE_LOBBY,ENTRANCE_DOORS_WINDOWS,SECURITY,STAIRWELLS,LAUNDRY_ROOMS,INTERNAL_GUARDS_HANDRAILS,GARBAGE_CHUTE_ROOMS,GARBAGE_BIN_STORAGE_AREA,ELEVATORS,STORAGE_AREAS_LOCKERS,INTERIOR_WALL_CEILING_FLOOR,INTERIOR_LIGHTING_LEVELS,GRAFFITI,EXTERIOR_CLADDING,EXTERIOR_GROUNDS,EXTERIOR_WALKWAYS,BALCONY_GUARDS,WATER_PEN_EXT_BLDG_ELEMENTS,PARKING_AREA,OTHER_FACILITIES,GRID,LATITUDE,LONGITUDE,X,Y
10021,4152554,2017,2017,1950,PRIVATE,20,Scarborough Southwest,2422 QUEEN ST E,4,24,2017-11-16,60,Evaluation needs to be conducted in 1 year,15,3,2,3,3,3,3,,3,,,3,4,3,3,3,2,,4,3,,E2033,43.6749404991,-79.279202734,322588.365,4837022.11
7782,4152554,2017,2018,1950,PRIVATE,20,Scarborough Southwest,2422 QUEEN ST E,4,24,2019-01-14,81,Evaluation needs to be conducted in 2 years,14,4,4,4,4,4,4,,4,,,4,4,5,4,4,4,,4,,,E2033,43.6749404991,-79.279202734,322588.365,4837022.11
4596,4152554,2017,2020,1950,PRIVATE,20,Scarborough Southwest,2422 QUEEN ST E,4,24,2020-11-04,73,Evaluation needs to be conducted in 2 years,14,3,3,4,3,4,3,,4,,,3,3,5,4,4,4,,4,,,E2033,43.6749404991,-79.279202734,322588.365,4837022.11
1818,4152554,2017,,1950,PRIVATE,20,Scarborough Southwest,2422 QUEEN ST E,4,24,2022-09-14,73,Evaluation needs to be conducted in 2 years,14,3,4,5,2,5,3,,4,,,3,3,3,4,3,4,,5,,,E2033,43.6749404991,-79.279202734,322588.365,4837022.11
9071,4152555,2017,2017,1957,PRIVATE,20,Scarborough Southwest,2412 QUEEN ST E,3,17,2017-12-15,65,Evaluation needs to be conducted in 1 year,16,3,3,3,3,3,2,,4,,,3,2,5,4,3,4,4,3,3,,E2033,43.6748716677,-79.2794749048,322566.439,4837014.405
7813,4152555,2017,2018,1957,PRIVATE,20,Scarborough Southwest,2412 QUEEN ST E,3,17,2019-01-11,79,Evaluation needs to be conducted in 2 years,17,4,4,4,4,4,4,,4,,3,4,4,5,4,4,4,4,4,3,,E2033,43.6748716677,-79.2794749048,322566.439,4837014.405
4595,4152555,2017,2020,1957,PRIVATE,20,Scarborough Southwest,2412 QUEEN ST E,3,17,2020-11-04,76,Evaluation needs to be conducted in 2 years,17,3,3,4,3,4,3,,5,,4,3,3,5,4,4,4,5,4,4,,E2033,43.6748716677,-79.2794749048,322566.439,4837014.405
1694,4152555,2017,,1957,PRIVATE,20,Scarborough Southwest,2412 QUEEN ST E,3,17,2022-09-26,76,Evaluation needs to be conducted in 2 years,17,4,4,5,4,4,3,,4,,3,4,4,5,4,4,3,3,3,4,,E2033,43.6748716677,-79.2794749048,322566.439,4837014.405
10020,4152556,2017,2017,1937,PRIVATE,20,Scarborough Southwest,2406 QUEEN ST E,4,13,2017-11-16,73,Evaluation needs to be conducted in 2 years,15,3,4,4,4,,3,,4,,,4,4,5,3,3,4,4,3,3,,E2033,43.6747748062,-79.2796021139,322556.21,4837003.617
5759,4152556,2017,2019,1937,PRIVATE,20,Scarborough Southwest,2406 QUEEN ST E,4,13,2019-11-19,81,Evaluation needs to be conducted in 2 years,15,4,3,5,4,,5,,4,,,5,5,5,4,3,3,3,5,3,,E2033,43.6747748062,-79.2796021139,322556.21,4837003.617
1864,4152556,2017,,1937,PRIVATE,20,Scarborough Southwest,2406 QUEEN ST E,4,13,2022-05-20,81,Evaluation needs to be conducted in 2 years,15,4,4,5,4,4,4,,4,,,3,4,5,3,4,4,,5,4,,E2033,43.6747748062,-79.2796021139,322556.21,4837003.617
9803,4152557,2017,2017,1932,PRIVATE,20,Scarborough Southwest,2402 QUEEN ST E,4,21,2017-11-23,72,Evaluation needs to be conducted in 2 years,17,3,3,4,4,5,3,,4,,3,4,4,5,3,3,4,3,3,3,,E2033,43.674568931,-79.279856653,322540.371,4836989.545
5757,4152557,2017,2019,1932,PRIVATE,20,Scarborough Southwest,2402 QUEEN ST E,4,21,2019-11-19,83,Evaluation needs to be conducted in 2 years,15,3,4,5,5,4,5,,4,,,4,5,5,4,3,3,,5,3,,E2033,43.674568931,-79.279856653,322540.371,4836989.545
1866,4152557,2017,,1932,PRIVATE,20,Scarborough Southwest,2402 QUEEN ST E,4,21,2022-05-20,83,Evaluation needs to be conducted in 2 years,14,4,5,5,4,4,4,,4,,,3,4,5,4,4,4,,4,,,E2033,43.674568931,-79.279856653,322540.371,4836989.545
10132,4152558,2017,2017,1920,PRIVATE,20,Scarborough Southwest,2400 QUEEN ST E,4,32,2017-11-15,59,Evaluation needs to be conducted in 1 year,16,3,2,3,3,2,3,,2,,3,3,3,5,4,2,3,,3,3,,E2033,43.6746856483,-79.2801413313,322512.757,4836993.597
7809,4152558,2017,2018,1920,PRIVATE,20,Scarborough Southwest,2400 QUEEN ST E,4,32,2019-01-11,81,Evaluation needs to be conducted in 2 years,15,4,4,4,4,4,4,,4,,,4,4,5,4,4,4,,4,4,,E2033,43.6746856483,-79.2801413313,322512.757,4836993.597
4515,4152558,2017,2020,1920,PRIVATE,20,Scarborough Southwest,2400 QUEEN ST E,4,32,2020-11-05,81,Evaluation needs to be conducted in 2 years,14,4,4,5,4,4,4,,4,,,5,2,5,4,4,4,,4,,,E2033,43.6746856483,-79.2801413313,322512.757,4836993.597
