Fri Jan 09 2026 10:22:25 GMT-0500 (Eastern Standard Time) - Run Time: 2826ms

Cross Tabulation Query Form - Trip - 2022

Row: 2022 TTS zone of destination - tts22_dest
Column: Primary travel mode of trip - mode_prime


Filters:
Regional municipality of household - region_hhld In 1

Trip 2022 
Table: 

,Transit excluding GO rail,Cycle,Auto driver,E-scooter,GO rail only,Joint GO rail and local transit,Motorcycle,Other,Auto passenger,School bus,Taxi passenger,Paid rideshare,Walk
1001,316,33,1884,8,0,0,0,0,955,5,15,98,1010
1002,112,355,688,0,0,0,16,0,81,50,0,0,202
1003,184,168,2557,0,0,0,0,0,462,0,0,8,395
1004,572,310,2222,0,0,0,10,0,226,3,15,157,249
1005,23,4,557,0,0,0,0,0,50,0,0,3,8
1006,417,369,3026,0,0,0,15,0,264,0,25,88,372
1007,86,259,243,29,0,0,0,23,40,0,0,0,12
1008,38,25,481,0,0,4,0,0,80,0,0,36,74
1009,0,92,476,0,0,0,0,0,79,0,0,0,21
1010,127,78,107,0,0,0,0,0,0,0,0,0,0
1011,200,109,462,0,0,0,0,0,208,0,0,84,11
1012,0,0,0,0,0,0,0,0,0,0,0,32,0
1013,48,0,9,0,0,0,0,0,0,0,0,0,15
1014,761,295,1056,44,0,5,0,0,595,0,0,0,1429
1015,1519,482,1882,15,6,0,70,0,815,0,39,363,2071
1016,1567,1096,1446,0,0,0,0,0,329,3,11,252,1479
1017,2308,848,3170,35,0,48,0,0,1392,0,56,153,3821
1018,1639,354,1300,6,0,0,0,0,70,0,39,39,2990
1019,626,509,786,0,0,0,0,0,165,80,0,56,3568
1020,358,195,695,0,0,3,0,0,150,0,19,42,1063
1021,7693,1556,2925,53,0,181,0,0,803,235,293,212,11881
1022,2500,1016,1811,19,0,32,0,16,678,63,141,224,4861
1023,1839,444,1502,0,0,25,0,0,233,0,0,98,4142
1024,1369,850,1904,24,0,0,0,29,863,55,24,147,3461
1025,5069,1631,2857,3,131,77,11,0,777,0,95,471,8659
